type,name,title,slug,url,contributor,code,stamp,board_type,board_circled_letters,board_extra_label,board_calendar_short,board_calendar,board_year,board_month,rom_kind,rom_label,rom_manufacturer,rom_manufacturer_name,rom_calendar_short,rom_calendar,rom_year,rom_month,rom_week,mapper_kind,mapper_label,mapper_manufacturer,mapper_manufacturer_name,mapper_calendar_short,mapper_calendar,mapper_year,mapper_month,mapper_week,ram_kind,ram_label,ram_manufacturer,ram_manufacturer_name,ram_calendar_short,ram_calendar,ram_year,ram_month,ram_week,ram_protector_kind,ram_protector_label,ram_protector_manufacturer,ram_protector_manufacturer_name,ram_protector_calendar_short,ram_protector_calendar,ram_protector_year,ram_protector_month,ram_protector_week,crystal_kind,crystal_label,crystal_manufacturer,crystal_manufacturer_name,crystal_calendar_short,crystal_calendar,crystal_year,crystal_month,crystal_week,rom2_kind,rom2_label,rom2_manufacturer,rom2_manufacturer_name,rom2_calendar_short,rom2_calendar,rom2_year,rom2_month,rom2_week,flash_kind,flash_label,flash_manufacturer,flash_manufacturer_name,flash_calendar_short,flash_calendar,flash_year,flash_month,flash_week,line_decoder_kind,line_decoder_label,line_decoder_manufacturer,line_decoder_manufacturer_name,line_decoder_calendar_short,line_decoder_calendar,line_decoder_year,line_decoder_month,line_decoder_week,eeprom_kind,eeprom_label,eeprom_manufacturer,eeprom_manufacturer_name,eeprom_calendar_short,eeprom_calendar,eeprom_year,eeprom_month,eeprom_week,accelerometer_kind,accelerometer_label,accelerometer_manufacturer,accelerometer_manufacturer_name,accelerometer_calendar_short,accelerometer_calendar,accelerometer_year,accelerometer_month,accelerometer_week,u4_kind,u4_label,u4_manufacturer,u4_manufacturer_name,u4_calendar_short,u4_calendar,u4_year,u4_month,u4_week,u5_kind,u5_label,u5_manufacturer,u5_manufacturer_name,u5_calendar_short,u5_calendar,u5_year,u5_month,u5_week,crystal
DMG-PCE-0,Pac-Man (USA),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-PCE-0/gekkio-1.html,gekkio,DMG-PC-USA,12,DMG-BEAN-10,I,2,Sep/1998,September/1998,1998,9,LH53517,DMG-PCE-0 S LH531723 JAPAN B1 9842 D,Sharp,Sharp,42/1998,Week 42/1998,1998,,42,MBC1B1,DMG MBC1B1 Nintendo S 9838 5 A,Sharp,Sharp,38/1998,Week 38/1998,1998,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-PDE-0,Pipe Dream (USA),Entry #1,ben-black-1,https://gbhwdb.gekkio.fi/cartridges/DMG-PDE-0/ben-black-1.html,Ben Black,DMG-PD-USA,22,DMG-AAA-03,B,6,Jul/1990,July/1990,1990,7,,DMG-PDE-0 SHARP JAPAN A0 9033 D,Sharp,Sharp,33/1990,Week 33/1990,1990,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-PME-0,Catrap (USA),Entry #1,tobiasvl-1,https://gbhwdb.gekkio.fi/cartridges/DMG-PME-0/tobiasvl-1.html,tobiasvl,DMG-PM-USA,22,DMG-AAA-03,B,5,Aug/1990,August/1990,1990,8,,DMG-PME-0 SHARP JAPAN A0 9034 D,Sharp,Sharp,34/1990,Week 34/1990,1990,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-Q6E-0,"NFL Quarterback Club (USA, Europe)",Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-Q6E-0/gekkio-1.html,gekkio,DMG-Q6-NOE,23,DMG-BEAN-02,Y,2,Nov/1993,November/1993,1993,11,23C1001EAGW,Ⓜ AT&T JAPAN DMG-Q6E-0 C1 23C1001EAGW-K37 9351E9005,AT&T Technologies,AT&T Technologies,51/1993,Week 51/1993,1993,,51,MBC1B1,DMG MBC1B1 Nintendo S 9348 3 A,Sharp,Sharp,48/1993,Week 48/1993,1993,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-Q6E-0,"NFL Quarterback Club (USA, Europe)",Entry #2,gekkio-2,https://gbhwdb.gekkio.fi/cartridges/DMG-Q6E-0/gekkio-2.html,gekkio,DMG-Q6-NOE,23,DMG-BEAN-02,I,6,Nov/1993,November/1993,1993,11,23C1001EAGW,Ⓜ AT&T JAPAN DMG-Q6E-0 C1 23C1001EAGW-K37 9349E9004,AT&T Technologies,AT&T Technologies,49/1993,Week 49/1993,1993,,49,MBC1B1,DMG MBC1B1 Nintendo S 9341 3 A,Sharp,Sharp,41/1993,Week 41/1993,1993,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-QDA-1,Donkey Kong (World) (Rev 1) (SGB Enhanced),Entry #1,creeps-1,https://gbhwdb.gekkio.fi/cartridges/DMG-QDA-1/creeps-1.html,creeps,DMG-QD-USA,22A,DMG-DECN(K)-02,Hs,5,Jun/1995,June/1995,1995,6,LH534M,DMG-QDA-1 S LH534M09 JAPAN E1 9535 D,Sharp,Sharp,35/1995,Week 35/1995,1995,,35,MBC1B1,DMG MBC1B1 Nintendo S 9535 3 A,Sharp,Sharp,35/1995,Week 35/1995,1995,,35,HY6264ALLJ-10,HY6264A LLJ-10 9525B KOREA,Hyundai,Hyundai,25/1995,Week 25/1995,1995,,25,MM1026A,524 26A,Mitsumi,Mitsumi,1995,1995,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-QDA-1,Donkey Kong (World) (Rev 1) (SGB Enhanced),Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/DMG-QDA-1/mattcurrie-1.html,mattcurrie,DMG-QD-USA,23A,DMG-DECN-02,I,4,Dec/1994,December/1994,1994,12,LH534M,DMG-QDA-1 S LH534M09 JAPAN E1 9501 E,Sharp,Sharp,1/1995,Week 1/1995,1995,,1,MBC1B1,DMG MBC1B1 Nintendo S 9451 1 A,Sharp,Sharp,51/1994,Week 51/1994,1994,,51,XLJ6265AF-10SL,XLJ6265AF-10SL 437 159,ROHM,ROHM,37/1994,Week 37/1994,1994,,37,MM1026A,422 26A,Mitsumi,Mitsumi,1994,1994,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-QQJ-1,Puyo Puyo (Japan) (Rev 1) (SGB Enhanced),Entry #1,kai-1,https://gbhwdb.gekkio.fi/cartridges/DMG-QQJ-1/kai-1.html,Kai,DMG-QQJ,22A,DMG-BEAN-02,Y,2,Aug/1996,August/1996,1996,8,LH532M,DMG-QQJ-1 S LH532MY7 JAPAN D1 9638 E,Sharp,Sharp,38/1996,Week 38/1996,1996,,38,MBC1B1,DMG MBC1B1 Nintendo S 9636 5 A,Sharp,Sharp,36/1996,Week 36/1996,1996,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-QXA-0,QIX (World),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-QXA-0/gekkio-1.html,gekkio,DMG-QXA,23,DMG-BBA-02,B,4,Feb/1990,February/1990,1990,2,,DMG-QXA-0 SHARP JAPAN B0 9011 E,Sharp,Sharp,11/1990,Week 11/1990,1990,,11,MBC1B,Nintendo DMG MBC1B N 9008BA047,,,8/1990,Week 8/1990,1990,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-QXA-0,QIX (World),Entry #1,tobiasvl-1,https://gbhwdb.gekkio.fi/cartridges/DMG-QXA-0/tobiasvl-1.html,tobiasvl,DMG-QX-SCN,22,DMG-BEAN-01,B,6,Jul/1990,July/1990,1990,7,LH53514,DMG-QXA-0 S LH5314HJ JAPAN B1 9028 E,Sharp,Sharp,28/1990,Week 28/1990,1990,,28,MBC1B,DMG MBC1-B Nintendo P 0'58,,,1990,1990,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-R4X-0,Mega Man IV (Europe),Entry #1,tobiasvl-1,https://gbhwdb.gekkio.fi/cartridges/DMG-R4X-0/tobiasvl-1.html,tobiasvl,DMG-R4-EUR,00,DMG-BEAN-02,I,5,Oct/1995,October/1995,1995,10,LH534M,DMG-R4X-0 S LH534MYZ JAPAN E1 9542 D,Sharp,Sharp,42/1995,Week 42/1995,1995,,42,MBC1B1,DMG MBC1B1 Nintendo S 9542 7 A,Sharp,Sharp,42/1995,Week 42/1995,1995,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RAE-0,"Gargoyle's Quest (USA, Europe)",Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RAE-0/mattcurrie-1.html,mattcurrie,DMG-RA-NOE,05,DMG-BEAN-01,B,3,Oct/1990,October/1990,1990,10,UPD23C1001EGW,NEC JAPAN DMG-RAE-0 C1 UPD23C1001EGW-J09 9046E9014,NEC,NEC,46/1990,Week 46/1990,1990,,46,MBC1B,Nintendo DMG MBC1B N 9034BA076,,,34/1990,Week 34/1990,1990,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RAJ-0,Red Arremer - Makaimura Gaiden (Japan),Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RAJ-0/mattcurrie-1.html,mattcurrie,DMG-RAJ,05,DMG-BEAN-01,I,2,Mar/1990,March/1990,1990,3,LH530800,DMG-RAJ-0 S LH5308N4 JAPAN C1 9011 E,Sharp,Sharp,11/1990,Week 11/1990,1990,,11,MBC1A,DMG MBC1A Nintendo S 9010 7 A,Sharp,Sharp,10/1990,Week 10/1990,1990,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RCE-0,"Super R.C. Pro-Am (USA, Europe)",Entry #1,davidslv-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RCE-0/davidslv-1.html,davidslv,DMG-RC-EUR,00,DMG-BEAN-10,K,2,Aug/1998,August/1998,1998,8,LH530800A,DMG-RCE-0 S LH531HHT JAPAN C1 9838 D,Sharp,Sharp,38/1998,Week 38/1998,1998,,38,MBC1B1,DMG MBC1B1 Nintendo S 9837 3 A,Sharp,Sharp,37/1998,Week 37/1998,1998,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-REA-0,R-Type (Japan),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-REA-0/gekkio-1.html,gekkio,DMG-REA,23,DMG-BEAN-02,I,3,Jan/1991,January/1991,1991,1,N-1001EGW,DMG-REA-0 C1 N-1001EGW-J28 9106E9026,,,6/1991,Week 6/1991,1991,,6,MBC1B,Nintendo DMG MBC1B N 9035BA070,,,35/1990,Week 35/1990,1990,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RJX-0,B.C. Kid 2 (Europe) (SGB Enhanced),Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RJX-0/mattcurrie-1.html,mattcurrie,DMG-RJ-EUR,22,DMG-BEAN-02,I,2,Apr/1995,April/1995,1995,4,LH532M,DMG-RJX-0 S LH532MW7 JAPAN D1 9518 D,Sharp,Sharp,18/1995,Week 18/1995,1995,,18,MBC1B,DMG MBC1-B Nintendo P 5'34,,,1995,1995,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RWE-0,Mega Man - Dr. Wily's Revenge (USA),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RWE-0/gekkio-1.html,gekkio,DMG-RW-USA,22,DMG-BEAN-02,I,2,Aug/1991,August/1991,1991,8,N-2001EGW,DMG-RWE-0 D1 N-2001EGW-J09 9136E9008,,,36/1991,Week 36/1991,1991,,36,MBC1B,DMG MBC1B Nintendo S 9130 1 A,Sharp,Sharp,30/1991,Week 30/1991,1991,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RWX-0,Mega Man - Dr. Wily's Revenge (Europe),Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RWX-0/mattcurrie-1.html,mattcurrie,DMG-RW-AUS,00,DMG-BEAN(K)-02,Hs,1,May/1996,May/1996,1996,5,LH532M,DMG-RWX-0 S LH532MYN JAPAN D1 9625 D,Sharp,Sharp,25/1996,Week 25/1996,1996,,25,MBC1B,DMG MBC1-B Nintendo P 6'54,,,1996,1996,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-RWX-0,Mega Man - Dr. Wily's Revenge (Europe),Entry #1,tobiasvl-1,https://gbhwdb.gekkio.fi/cartridges/DMG-RWX-0/tobiasvl-1.html,tobiasvl,DMG-RW-EUR,22,DMG-BEAN-10,I,1,Jun/1997,June/1997,1997,6,LH532M,DMG-RWX-0 S LH532MYN JAPAN D1 9725 D,Sharp,Sharp,25/1997,Week 25/1997,1997,,25,MBC1B,DMG MBC1-B Nintendo P 7'61,,,1997,1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-S3E-0,Spot - The Video Game (USA),Entry #1,jan-spakula-1,https://gbhwdb.gekkio.fi/cartridges/DMG-S3E-0/jan-spakula-1.html,Jan Spakula,DMG-S3-USA,28,DMG-AAA-03,I,1,Jul/1991,July/1991,1991,7,LH53259,DMG-S3E-0 S LH5359UB JAPAN A0 9134 D,Sharp,Sharp,34/1991,Week 34/1991,1991,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-SAJ-0,Makai Toushi Sa-Ga (Japan),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-SAJ-0/gekkio-1.html,gekkio,DMG-SAJ,23,DMG-GDAN-01,I,1,Mar/1989,March/1989,1989,3,UPD23C1001EGW,NEC JAPAN DMG-SAJ-0 C1 UPD23C1001EGW-J01 9010E9702,NEC,NEC,10/1990,Week 10/1990,1990,,10,MBC2A,DMG MBC2A Nintendo S 9008 5 A,Sharp,Sharp,8/1990,Week 8/1990,1990,,8,,,,,,,,,,MM1026A,015 26A,Mitsumi,Mitsumi,1990,1990,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-SLE-0,InfoGenius Productivity Pak - Spell Checker and Calculator (USA),Entry #1,gekkio-1,https://gbhwdb.gekkio.fi/cartridges/DMG-SLE-0/gekkio-1.html,gekkio,,23,DMG-BEAN-02,I,4,Jul/1991,July/1991,1991,7,LH530800,DMG-SLE-0 S LH5308GB JAPAN C1 9129 E,Sharp,Sharp,29/1991,Week 29/1991,1991,,29,MBC1B,Nintendo DMG MBC1B N 9109BA085,,,9/1991,Week 9/1991,1991,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-SOE-1,"Boxxle (USA, Europe) (Rev 1)",Entry #1,tobiasvl-1,https://gbhwdb.gekkio.fi/cartridges/DMG-SOE-1/tobiasvl-1.html,tobiasvl,DMG-SO-USA,22A,DMG-AAA-03,I,5,May/1990,May/1990,1990,5,,DMG-SOE-1 SHARP JAPAN A0 9023 D,Sharp,Sharp,23/1990,Week 23/1990,1990,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMG-SSA-0,SolarStriker (World),Entry #1,ben-black-1,https://gbhwdb.gekkio.fi/cartridges/DMG-SSA-0/ben-black-1.html,Ben Black,DMG-SS-USA,23,DMG-BBA-03,I,5,May/1990,May/1990,1990,5,,DMG-SSA-0 SHARP JAPAN B0 9023 D,Sharp,Sharp,23/1990,Week 23/1990,1990,,23,MBC1B,Nintendo DMG MBC1B N 9016BA059,,,16/1990,Week 16/1990,1990,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
